Location,Date,Division,Grade,Paper_Cost,Pounds,Tons,Units,Check_Num,Receipt,Invoice,Notes,Filename
Fort Gillem,2017-12-30,11,[ 11 ]  OCC,2592.88,36100,18.05,0,192811,146351,AU12176877,,
Fort Gillem,2017-12-31,11,[ 11 ]  OCC,2529.68,35220,17.61,0,192811,146364,2644794,,
Fort Gillem,2017-12-31,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-49.06,0,0.0,0,192811,146364,2644794,,
Fort Gillem,2017-12-31,11,[ 11 ]  OCC,2258.18,31440,15.72,0,192811,146366,2644796,,
Fort Gillem,2017-12-31,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-87.85,0,0.0,0,192811,146366,2644796,,
Fort Gillem,2017-12-31,11,[ 11 ]  OCC,2535.42,35300,17.65,0,192811,146371,AU12176919,,
Fort Gillem,2017-12-31,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-17.14,0,0.0,0,192811,146371,AU12176919,,
Fort Gillem,2017-12-31,11,[ 11 ]  OCC,2628.8,36600,18.3,0,192811,146555,2644791,,
Fort Gillem,2017-12-31,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-34.89,0,0.0,0,192811,146555,2644791,,
Fort Gillem,2018-01-01,11,[ 11 ]  OCC,2779.62,38700,19.35,0,192811,146405,AU01187197,,
Fort Gillem,2018-01-01,11,[ 11 ]  OCC,2177.73,30320,15.16,0,192811,146406,AU01187198,,
Fort Gillem,2018-01-01,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-48.8,0,0.0,0,192811,146406,AU01187198,,
Fort Gillem,2018-01-01,11,[ 11 ]  OCC,2647.46,36860,18.43,0,192811,146573,AU01187199,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,2579.95,35920,17.96,0,192811,146388,2655902,,
Fort Gillem,2018-01-02,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-41.34,0,0.0,0,192811,146388,2655902,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,2763.83,38480,19.24,0,192811,146389,2655903,,
Fort Gillem,2018-01-02,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-15.4,0,0.0,0,192811,146389,2655903,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,2416.19,33640,16.82,0,192811,146403,AU01187195,,
Fort Gillem,2018-01-02,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-27.67,0,0.0,0,192811,146403,AU01187195,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,2406.13,33500,16.75,0,192811,146408,AU01187202,,
Fort Gillem,2018-01-02,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-28.56,0,0.0,0,192811,146408,AU01187202,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,2525.37,35160,17.58,0,192811,146440,AU01187234,,
Fort Gillem,2018-01-02,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-16.96,0,0.0,0,192811,146440,AU01187234,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,2466.47,34340,17.17,0,192811,146441,AU01187235,,
Fort Gillem,2018-01-02,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-21.85,0,0.0,0,192811,146441,AU01187235,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,2409.01,33540,16.77,0,192811,146574,AU01187203,,
Fort Gillem,2018-01-02,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-28.34,0,0.0,0,192811,146574,AU01187203,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,2664.71,37100,18.55,0,192811,146653,2644797,,
Fort Gillem,2018-01-02,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-29.76,0,0.0,0,192811,146653,2644797,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,2671.89,37200,18.6,0,192811,146670,AU01187200,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,2661.83,37060,18.53,0,192811,146747,2644809,,
Fort Gillem,2018-01-02,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-30.17,0,0.0,0,192811,146747,2644809,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,2217.96,30880,15.44,0,192811,146785,AU01187233,,
Fort Gillem,2018-01-02,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-42.61,0,0.0,0,192811,146785,AU01187233,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,398.75,14500,7.25,22,192811,300107745,,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,265.92,9670,4.835,21,192811,300107748,,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,320.1,11640,5.82,18,192811,300107972,,,
Fort Gillem,2018-01-02,11,[ 11 ]  OCC,248.05,9020,4.51,22,192811,300107975,,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2650.34,36900,18.45,0,192811,146390,2655904,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-31.41,0,0.0,0,192811,146390,2655904,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2582.83,35960,17.98,0,192811,146391,2655905,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-40.93,0,0.0,0,192811,146391,2655905,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2766.7,38520,19.26,0,192811,146394,2655908,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-14.99,0,0.0,0,192811,146394,2655908,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2852.89,39720,19.86,0,192811,146396,2655910,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-2.84,0,0.0,0,192811,146396,2655910,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2483.7,34580,17.29,0,192811,146404,AU01187196,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-21.71,0,0.0,0,192811,146404,AU01187196,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2677.64,37280,18.64,0,192811,146442,AU01187236,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2388.9,33260,16.63,0,192811,146443,AU01187237,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-28.31,0,0.0,0,192811,146443,AU01187237,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2561.28,35660,17.83,0,192811,146566,2655892,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-44.54,0,0.0,0,192811,146566,2655892,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2430.55,33840,16.92,0,192811,146575,AU01187208,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-26.43,0,0.0,0,192811,146575,AU01187208,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2574.21,35840,17.92,0,192811,146654,2644798,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-42.69,0,0.0,0,192811,146654,2644798,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2526.8,35180,17.59,0,192811,146657,2644807,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-49.47,0,0.0,0,192811,146657,2644807,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2521.06,35100,17.55,0,192811,146658,2644808,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-50.29,0,0.0,0,192811,146658,2644808,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,2396.08,33360,16.68,0,192811,147049,AU01187207,,
Fort Gillem,2018-01-03,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-29.48,0,0.0,0,192811,147049,AU01187207,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,180.4,6560,3.28,26,192811,300107973,,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,276.1,10040,5.02,24,192811,300107974,,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,188.65,6860,3.43,28,192811,300107976,,,
Fort Gillem,2018-01-03,11,[ 11 ]  OCC,269.5,9800,4.9,30,192811,300107977,,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2582.83,35960,17.98,0,192811,146392,2655906,,
Fort Gillem,2018-01-04,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-40.93,0,0.0,0,192811,146392,2655906,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2360.16,32860,16.43,0,192811,146407,AU01187201,,
Fort Gillem,2018-01-04,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-32.63,0,0.0,0,192811,146407,AU01187201,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2775.31,38640,19.32,0,192811,146409,AU01187204,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2513.87,35000,17.5,0,192811,146411,AU01187206,,
Fort Gillem,2018-01-04,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-19.04,0,0.0,0,192811,146411,AU01187206,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2607.24,36300,18.15,0,192811,146413,AU01187210,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2423.37,33740,16.87,0,192811,146429,AU01187628,,
Fort Gillem,2018-01-04,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-25.49,0,0.0,0,192811,146429,AU01187628,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2651.77,36920,18.46,0,192811,146430,AU01187629,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2735.1,38080,19.04,0,192811,146444,AU01187238,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2429.12,33820,16.91,0,192811,146445,AU01187239,,
Fort Gillem,2018-01-04,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-24.96,0,0.0,0,192811,146445,AU01187239,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2299.84,32020,16.01,0,192811,146446,AU01187240,,
Fort Gillem,2018-01-04,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-35.71,0,0.0,0,192811,146446,AU01187240,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2669.02,37160,18.58,0,192811,146567,2655893,,
Fort Gillem,2018-01-04,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-29.15,0,0.0,0,192811,146567,2655893,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2561.27,35660,17.83,0,192811,146576,AU01187213,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2567.02,35740,17.87,0,192811,146577,AU01187214,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,2411.88,33580,16.79,0,192811,146655,2644802,,
Fort Gillem,2018-01-04,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-65.89,0,0.0,0,192811,146655,2644802,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,378.67,13770,6.885,27,192811,300107978,,,
Fort Gillem,2018-01-04,11,[ 11 ]  OCC,273.9,9960,4.98,32,192811,300107979,,,
Fort Gillem,2018-01-05,11,[ 11 ]  OCC,2159.06,30060,15.03,0,192811,146387,2655901,,
Fort Gillem,2018-01-05,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-100.71,0,0.0,0,192811,146387,2655901,,
Fort Gillem,2018-01-05,11,[ 11 ]  OCC,2592.88,36100,18.05,0,192811,146393,2655907,,
Fort Gillem,2018-01-05,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-39.51,0,0.0,0,192811,146393,2655907,,
Fort Gillem,2018-01-05,11,[ 11 ]  OCC,2498.07,34780,17.39,0,192811,146397,2655911,,
Fort Gillem,2018-01-05,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-52.89,0,0.0,0,192811,146397,2655911,,
Fort Gillem,2018-01-05,11,[ 11 ]  OCC,2571.34,35800,17.9,0,192811,146400,2655915,,
Fort Gillem,2018-01-05,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-42.55,0,0.0,0,192811,146400,2655915,,
Fort Gillem,2018-01-05,11,[ 11 ]  OCC,2368.78,32980,16.49,0,192811,146410,AU01187205,,
Fort Gillem,2018-01-05,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-31.86,0,0.0,0,192811,146410,AU01187205,,
Fort Gillem,2018-01-05,11,[ 11 ]  OCC,2430.55,33840,16.92,0,192811,146412,AU01187209,,
Fort Gillem,2018-01-05,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-26.4,0,0.0,0,192811,146412,AU01187209,,
Fort Gillem,2018-01-05,11,[ 11 ]  OCC,2480.83,34540,17.27,0,192811,146414,AU01187211,,
Fort Gillem,2018-01-05,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-21.96,0,0.0,0,192811,146414,AU01187211,,
Fort Gillem,2018-01-05,11,[ 11 ]  OCC,2683.38,37360,18.68,0,192811,146415,AU01187212,,
Fort Gillem,2018-01-05,11,[ 11 ]  OCC,2325.69,32380,16.19,0,192811,146568,2655894,,
Fort Gillem,2018-01-05,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-78.2,0,0.0,0,192811,146568,2655894,,
Fort Gillem,2018-01-05,11,[ 11 ]  OCC,2525.36,35160,17.58,0,192811,146579,AU01187217,,
Fort Gillem,2018-01-05,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-18.04,0,0.0,0,192811,146579,AU01187217,,
Fort Gillem,2018-01-05,11,[ 11 ]  OCC,2551.22,35520,17.76,0,192811,146656,2644804,,
Fort Gillem,2018-01-05,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-45.98,0,0.0,0,192811,146656,2644804,,
Fort Gillem,2018-01-06,11,[ 11 ]  OCC,2454.98,34180,17.09,0,192811,146385,2655898,,
Fort Gillem,2018-01-06,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-58.97,0,0.0,0,192811,146385,2655898,,
Fort Gillem,2018-01-06,11,[ 11 ]  OCC,2467.91,34360,17.18,0,192811,146386,2655899,,
Fort Gillem,2018-01-06,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-57.14,0,0.0,0,192811,146386,2655899,,
Fort Gillem,2018-01-06,11,[ 11 ]  OCC,2469.34,34380,17.19,0,192811,146399,2655914,,
Fort Gillem,2018-01-06,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-56.94,0,0.0,0,192811,146399,2655914,,
Fort Gillem,2018-01-06,11,[ 11 ]  OCC,2735.09,38080,19.04,0,192811,146416,AU01187215,,
Fort Gillem,2018-01-06,11,[ 11 ]  OCC,2575.64,35860,17.93,0,192811,146671,AU01187221,,
Fort Gillem,2018-01-06,11,[ 11 ]  OCC,2502.38,34840,17.42,0,192811,146672,AU01187224,,
Fort Gillem,2018-01-06,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-20.08,0,0.0,0,192811,146672,AU01187224,,
Fort Gillem,2018-01-07,11,[ 11 ]  OCC,2508.13,34920,17.46,0,192811,146395,2655909,,
Fort Gillem,2018-01-07,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-51.47,0,0.0,0,192811,146395,2655909,,
Fort Gillem,2018-01-07,11,[ 11 ]  OCC,2597.19,36160,18.08,0,192811,146398,2655913,,
Fort Gillem,2018-01-07,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-38.9,0,0.0,0,192811,146398,2655913,,
Fort Gillem,2018-01-07,11,[ 11 ]  OCC,2536.86,35320,17.66,0,192811,146569,2655895,,
Fort Gillem,2018-01-07,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-48.03,0,0.0,0,192811,146569,2655895,,
Fort Gillem,2018-01-07,11,[ 11 ]  OCC,2258.18,31440,15.72,0,192811,146605,2681944,,
Fort Gillem,2018-01-07,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-86.73,0,0.0,0,192811,146605,2681944,,
Fort Gillem,2018-01-07,11,[ 11 ]  OCC,2562.71,35680,17.84,0,192811,146673,AU01187229,,
Fort Gillem,2018-01-07,11,[ 11 ]  OCC,2592.88,36100,18.05,0,192811,147050,AU01187227,,
Fort Gillem,2018-01-08,11,[ 11 ]  OCC,2508.12,34920,17.46,0,192811,146417,AU01187219,,
Fort Gillem,2018-01-08,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-19.55,0,0.0,0,192811,146417,AU01187219,,
Fort Gillem,2018-01-08,11,[ 11 ]  OCC,2363.04,32900,16.45,0,192811,146570,2655896,,
Fort Gillem,2018-01-08,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-71.93,0,0.0,0,192811,146570,2655896,,
Fort Gillem,2018-01-08,11,[ 11 ]  OCC,2554.09,35560,17.78,0,192811,146581,AU01187220,,
Fort Gillem,2018-01-08,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-15.49,0,0.0,0,192811,146581,AU01187220,,
Fort Gillem,2018-01-08,11,[ 11 ]  OCC,2286.9,31840,15.92,0,192811,146593,AU01187630,,
Fort Gillem,2018-01-08,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-36.86,0,0.0,0,192811,146593,AU01187630,,
Fort Gillem,2018-01-08,11,[ 11 ]  OCC,2390.34,33280,16.64,0,192811,146608,2681948,,
Fort Gillem,2018-01-08,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-68.08,0,0.0,0,192811,146608,2681948,,
Fort Gillem,2018-01-08,11,[ 11 ]  OCC,2523.93,35140,17.57,0,192811,146618,2681959,,
Fort Gillem,2018-01-08,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-49.24,0,0.0,0,192811,146618,2681959,,
Fort Gillem,2018-01-08,11,[ 11 ]  OCC,1972.31,27460,13.73,0,192811,146679,AU01187707,,
Fort Gillem,2018-01-08,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-66.97,0,0.0,0,192811,146679,AU01187707,,
Fort Gillem,2018-01-08,11,[ 11 ]  OCC,376.75,13700,6.85,28,192811,300107980,,,
Fort Gillem,2018-01-08,11,[ 11 ]  OCC,224.95,8180,4.09,24,192811,300108089,,,
Fort Gillem,2018-01-08,11,[ 11 ]  OCC,342.37,12450,6.225,29,192811,300108090,,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,2220.82,30920,15.46,0,192811,146418,AU01187222,,
Fort Gillem,2018-01-09,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-44.94,0,0.0,0,192811,146418,AU01187222,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,2562.71,35680,17.84,0,192811,146578,AU01187216,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,2397.51,33380,16.69,0,192811,146580,AU01187218,,
Fort Gillem,2018-01-09,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-29.32,0,0.0,0,192811,146580,AU01187218,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,2703.49,37640,18.82,0,192811,146596,2681935,,
Fort Gillem,2018-01-09,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-23.91,0,0.0,0,192811,146596,2681935,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,2511.0,34960,17.48,0,192811,146617,2681958,,
Fort Gillem,2018-01-09,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-51.06,0,0.0,0,192811,146617,2681958,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,2568.46,35760,17.88,0,192811,146674,AU01187631,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,2590.0,36060,18.03,0,192811,146675,AU01187633,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,2419.06,33680,16.84,0,192811,147055,AU01187632,,
Fort Gillem,2018-01-09,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-25.85,0,0.0,0,192811,147055,AU01187632,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,349.8,12720,6.36,28,192811,300107981,,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,57.64,2096,1.048,0,192811,300108224,,,
Fort Gillem,2018-01-09,11,[ 908 ]  DISPOSAL,-356.32,0,0.0,0,192811,300108224,,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,63.25,2300,1.15,0,192811,300108225,,,
Fort Gillem,2018-01-09,11,[ 908 ]  DISPOSAL,-293.25,0,0.0,0,192811,300108225,,,
Fort Gillem,2018-01-09,11,[ 11 ]  OCC,365.2,13280,6.64,30,192811,300108227,,,
Fort Gillem,2018-01-10,11,[ 11 ]  OCC,2568.46,35760,17.88,0,192811,146571,2655897,,
Fort Gillem,2018-01-10,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-42.96,0,0.0,0,192811,146571,2655897,,
Fort Gillem,2018-01-10,11,[ 11 ]  OCC,2342.93,32620,16.31,0,192811,146582,AU01187223,,
Fort Gillem,2018-01-10,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-34.15,0,0.0,0,192811,146582,AU01187223,,
Fort Gillem,2018-01-10,11,[ 11 ]  OCC,2319.94,32300,16.15,0,192811,146583,AU01187225,,
Fort Gillem,2018-01-10,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-36.18,0,0.0,0,192811,146583,AU01187225,,
Fort Gillem,2018-01-10,11,[ 11 ]  OCC,2177.73,30320,15.16,0,192811,146584,AU01187226,,
Fort Gillem,2018-01-10,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-48.75,0,0.0,0,192811,146584,AU01187226,,
Fort Gillem,2018-01-10,11,[ 11 ]  OCC,2288.34,31860,15.93,0,192811,146585,AU01187228,,
Fort Gillem,2018-01-10,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-38.97,0,0.0,0,192811,146585,AU01187228,,
Fort Gillem,2018-01-10,11,[ 11 ]  OCC,2532.55,35260,17.63,0,192811,146597,2681936,,
Fort Gillem,2018-01-10,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-48.02,0,0.0,0,192811,146597,2681936,,
Fort Gillem,2018-01-10,11,[ 11 ]  OCC,2683.38,37360,18.68,0,192811,146600,2681939,,
Fort Gillem,2018-01-10,11,[ 935 ]  FREIGHT OUT CHARGEBACK,-26.75,0,0.0,0,192811,146600,2681939,,
