PassengerId,Survived,Adult_No,Adult_Yes,Age,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_Z,Embarked_C,Embarked_Q,Embarked_S,FamilySize,Fare,IsMale,IsMother,Pclass_1,Pclass_2,Pclass_3,Title_lady,Title_master,Title_miss,Title_mr,Title_mrs,Title_officer,Title_sir
103,0,0,1,21.0,0,0,0,1,0,0,0,0,0,0,1,2,77.2875,1,0,1,0,0,0,0,0,1,0,0,0
104,0,0,1,33.0,0,0,0,0,0,0,0,1,0,0,1,1,8.6542,1,0,0,0,1,0,0,0,1,0,0,0
105,0,0,1,37.0,0,0,0,0,0,0,0,1,0,0,1,3,7.925,1,0,0,0,1,0,0,0,1,0,0,0
106,0,0,1,28.0,0,0,0,0,0,0,0,1,0,0,1,1,7.8958,1,0,0,0,1,0,0,0,1,0,0,0
107,1,0,1,21.0,0,0,0,0,0,0,0,1,0,0,1,1,7.65,0,0,0,0,1,0,0,1,0,0,0,0
108,1,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,7.775,1,0,0,0,1,0,0,0,1,0,0,0
109,0,0,1,38.0,0,0,0,0,0,0,0,1,0,0,1,1,7.8958,1,0,0,0,1,0,0,0,1,0,0,0
110,1,0,1,22.0,0,0,0,0,0,0,0,1,0,1,0,2,24.15,0,0,0,0,1,0,0,1,0,0,0,0
111,0,0,1,47.0,0,0,1,0,0,0,0,0,0,0,1,1,52.0,1,0,1,0,0,0,0,0,1,0,0,0
112,0,1,0,14.5,0,0,0,0,0,0,0,1,1,0,0,2,14.4542,0,0,0,0,1,0,0,1,0,0,0,0
113,0,0,1,22.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
114,0,0,1,20.0,0,0,0,0,0,0,0,1,0,0,1,2,9.825,0,0,0,0,1,0,0,1,0,0,0,0
115,0,1,0,17.0,0,0,0,0,0,0,0,1,1,0,0,1,14.4583,0,0,0,0,1,0,0,1,0,0,0,0
116,0,0,1,21.0,0,0,0,0,0,0,0,1,0,0,1,1,7.925,1,0,0,0,1,0,0,0,1,0,0,0
117,0,0,1,70.5,0,0,0,0,0,0,0,1,0,1,0,1,7.75,1,0,0,0,1,0,0,0,1,0,0,0
118,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,2,21.0,1,0,0,1,0,0,0,0,1,0,0,0
119,0,0,1,24.0,0,1,0,0,0,0,0,0,1,0,0,2,247.5208,1,0,1,0,0,0,0,0,1,0,0,0
120,0,1,0,2.0,0,0,0,0,0,0,0,1,0,0,1,7,31.275,0,0,0,0,1,0,0,1,0,0,0,0
121,0,0,1,21.0,0,0,0,0,0,0,0,1,0,0,1,3,73.5,1,0,0,1,0,0,0,0,1,0,0,0
122,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
123,0,0,1,32.5,0,0,0,0,0,0,0,1,1,0,0,2,30.0708,1,0,0,1,0,0,0,0,1,0,0,0
124,1,0,1,32.5,0,0,0,0,1,0,0,0,0,0,1,1,13.0,0,0,0,1,0,0,0,1,0,0,0,0
125,0,0,1,54.0,0,0,0,1,0,0,0,0,0,0,1,2,77.2875,1,0,1,0,0,0,0,0,1,0,0,0
126,1,1,0,12.0,0,0,0,0,0,0,0,1,1,0,0,2,11.2417,1,0,0,0,1,0,1,0,0,0,0,0
127,0,0,1,29.0,0,0,0,0,0,0,0,1,0,1,0,1,7.75,1,0,0,0,1,0,0,0,1,0,0,0
128,1,0,1,24.0,0,0,0,0,0,0,0,1,0,0,1,1,7.1417,1,0,0,0,1,0,0,0,1,0,0,0
129,1,0,1,22.0,0,0,0,0,0,1,0,0,1,0,0,3,22.3583,0,0,0,0,1,0,0,1,0,0,0,0
130,0,0,1,45.0,0,0,0,0,0,0,0,1,0,0,1,1,6.975,1,0,0,0,1,0,0,0,1,0,0,0
131,0,0,1,33.0,0,0,0,0,0,0,0,1,1,0,0,1,7.8958,1,0,0,0,1,0,0,0,1,0,0,0
132,0,0,1,20.0,0,0,0,0,0,0,0,1,0,0,1,1,7.05,1,0,0,0,1,0,0,0,1,0,0,0
133,0,0,1,47.0,0,0,0,0,0,0,0,1,0,0,1,2,14.5,0,0,0,0,1,0,0,0,0,1,0,0
134,1,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,2,26.0,0,0,0,1,0,0,0,0,0,1,0,0
135,0,0,1,25.0,0,0,0,0,0,0,0,1,0,0,1,1,13.0,1,0,0,1,0,0,0,0,1,0,0,0
136,0,0,1,23.0,0,0,0,0,0,0,0,1,1,0,0,1,15.0458,1,0,0,1,0,0,0,0,1,0,0,0
137,1,0,1,19.0,0,0,0,1,0,0,0,0,0,0,1,3,26.2833,0,0,1,0,0,0,0,1,0,0,0,0
138,0,0,1,37.0,0,0,1,0,0,0,0,0,0,0,1,2,53.1,1,0,1,0,0,0,0,0,1,0,0,0
139,0,1,0,16.0,0,0,0,0,0,0,0,1,0,0,1,1,9.2167,1,0,0,0,1,0,0,0,1,0,0,0
140,0,0,1,24.0,0,1,0,0,0,0,0,0,1,0,0,1,79.2,1,0,1,0,0,0,0,0,1,0,0,0
141,0,0,1,35.0,0,0,0,0,0,0,0,1,1,0,0,3,15.2458,0,1,0,0,1,0,0,0,0,1,0,0
142,1,0,1,22.0,0,0,0,0,0,0,0,1,0,0,1,1,7.75,0,0,0,0,1,0,0,1,0,0,0,0
143,1,0,1,24.0,0,0,0,0,0,0,0,1,0,0,1,2,15.85,0,0,0,0,1,0,0,0,0,1,0,0
144,0,0,1,19.0,0,0,0,0,0,0,0,1,0,1,0,1,6.75,1,0,0,0,1,0,0,0,1,0,0,0
145,0,0,1,18.0,0,0,0,0,0,0,0,1,0,0,1,1,11.5,1,0,0,1,0,0,0,0,1,0,0,0
146,0,0,1,19.0,0,0,0,0,0,0,0,1,0,0,1,3,36.75,1,0,0,1,0,0,0,0,1,0,0,0
147,1,0,1,27.0,0,0,0,0,0,0,0,1,0,0,1,1,7.7958,1,0,0,0,1,0,0,0,1,0,0,0
148,0,1,0,9.0,0,0,0,0,0,0,0,1,0,0,1,5,34.375,0,0,0,0,1,0,0,1,0,0,0,0
149,0,0,1,36.5,0,0,0,0,0,1,0,0,0,0,1,3,26.0,1,0,0,1,0,0,0,0,1,0,0,0
150,0,0,1,42.0,0,0,0,0,0,0,0,1,0,0,1,1,13.0,1,0,0,1,0,0,0,0,0,0,0,1
151,0,0,1,51.0,0,0,0,0,0,0,0,1,0,0,1,1,12.525,1,0,0,1,0,0,0,0,0,0,0,1
152,1,0,1,22.0,0,0,1,0,0,0,0,0,0,0,1,2,66.6,0,0,1,0,0,0,0,0,0,1,0,0
153,0,0,1,55.5,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
154,0,0,1,40.5,0,0,0,0,0,0,0,1,0,0,1,3,14.5,1,0,0,0,1,0,0,0,1,0,0,0
155,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,7.3125,1,0,0,0,1,0,0,0,1,0,0,0
156,0,0,1,51.0,0,0,0,0,0,0,0,1,1,0,0,2,61.3792,1,0,1,0,0,0,0,0,1,0,0,0
157,1,1,0,16.0,0,0,0,0,0,0,0,1,0,1,0,1,7.7333,0,0,0,0,1,0,0,1,0,0,0,0
158,0,0,1,30.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
159,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,8.6625,1,0,0,0,1,0,0,0,1,0,0,0
160,0,1,0,4.0,0,0,0,0,0,0,0,1,0,0,1,11,69.55,1,0,0,0,1,0,1,0,0,0,0,0
161,0,0,1,44.0,0,0,0,0,0,0,0,1,0,0,1,2,16.1,1,0,0,0,1,0,0,0,1,0,0,0
162,1,0,1,40.0,0,0,0,0,0,0,0,1,0,0,1,1,15.75,0,0,0,1,0,0,0,0,0,1,0,0
163,0,0,1,26.0,0,0,0,0,0,0,0,1,0,0,1,1,7.775,1,0,0,0,1,0,0,0,1,0,0,0
164,0,1,0,17.0,0,0,0,0,0,0,0,1,0,0,1,1,8.6625,1,0,0,0,1,0,0,0,1,0,0,0
165,0,1,0,1.0,0,0,0,0,0,0,0,1,0,0,1,6,39.6875,1,0,0,0,1,0,1,0,0,0,0,0
166,1,1,0,9.0,0,0,0,0,0,0,0,1,0,0,1,3,20.525,1,0,0,0,1,0,1,0,0,0,0,0
167,1,0,1,35.0,0,0,0,0,1,0,0,0,0,0,1,2,55.0,0,1,1,0,0,0,0,0,0,1,0,0
168,0,0,1,45.0,0,0,0,0,0,0,0,1,0,0,1,6,27.9,0,1,0,0,1,0,0,0,0,1,0,0
169,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,1,25.925,1,0,1,0,0,0,0,0,1,0,0,0
170,0,0,1,28.0,0,0,0,0,0,0,0,1,0,0,1,1,56.4958,1,0,0,0,1,0,0,0,1,0,0,0
171,0,0,1,61.0,0,1,0,0,0,0,0,0,0,0,1,1,33.5,1,0,1,0,0,0,0,0,1,0,0,0
172,0,1,0,4.0,0,0,0,0,0,0,0,1,0,1,0,6,29.125,1,0,0,0,1,0,1,0,0,0,0,0
173,1,1,0,1.0,0,0,0,0,0,0,0,1,0,0,1,3,11.1333,0,0,0,0,1,0,0,1,0,0,0,0
174,0,0,1,21.0,0,0,0,0,0,0,0,1,0,0,1,1,7.925,1,0,0,0,1,0,0,0,1,0,0,0
175,0,0,1,56.0,1,0,0,0,0,0,0,0,1,0,0,1,30.6958,1,0,1,0,0,0,0,0,1,0,0,0
176,0,0,1,18.0,0,0,0,0,0,0,0,1,0,0,1,3,7.8542,1,0,0,0,1,0,0,0,1,0,0,0
177,0,1,0,4.0,0,0,0,0,0,0,0,1,0,0,1,5,25.4667,1,0,0,0,1,0,1,0,0,0,0,0
178,0,0,1,50.0,0,0,1,0,0,0,0,0,1,0,0,1,28.7125,0,0,1,0,0,0,0,1,0,0,0,0
179,0,0,1,30.0,0,0,0,0,0,0,0,1,0,0,1,1,13.0,1,0,0,1,0,0,0,0,1,0,0,0
180,0,0,1,36.0,0,0,0,0,0,0,0,1,0,0,1,1,0.0,1,0,0,0,1,0,0,0,1,0,0,0
181,0,0,1,22.0,0,0,0,0,0,0,0,1,0,0,1,11,69.55,0,0,0,0,1,0,0,1,0,0,0,0
182,0,0,1,29.0,0,0,0,0,0,0,0,1,1,0,0,1,15.05,1,0,0,1,0,0,0,0,1,0,0,0
183,0,1,0,9.0,0,0,0,0,0,0,0,1,0,0,1,7,31.3875,1,0,0,0,1,0,1,0,0,0,0,0
184,1,1,0,1.0,0,0,0,0,0,1,0,0,0,0,1,4,39.0,1,0,0,1,0,0,1,0,0,0,0,0
185,1,1,0,4.0,0,0,0,0,0,0,0,1,0,0,1,3,22.025,0,0,0,0,1,0,0,1,0,0,0,0
186,0,0,1,29.0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,1,0,1,0,0,0,0,0,1,0,0,0
187,1,0,1,35.0,0,0,0,0,0,0,0,1,0,1,0,2,15.5,0,0,0,0,1,0,0,0,0,1,0,0
188,1,0,1,45.0,0,0,0,0,0,0,0,1,0,0,1,1,26.55,1,0,1,0,0,0,0,0,1,0,0,0
189,0,0,1,40.0,0,0,0,0,0,0,0,1,0,1,0,3,15.5,1,0,0,0,1,0,0,0,1,0,0,0
190,0,0,1,36.0,0,0,0,0,0,0,0,1,0,0,1,1,7.8958,1,0,0,0,1,0,0,0,1,0,0,0
191,1,0,1,32.0,0,0,0,0,0,0,0,1,0,0,1,1,13.0,0,0,0,1,0,0,0,0,0,1,0,0
192,0,0,1,19.0,0,0,0,0,0,0,0,1,0,0,1,1,13.0,1,0,0,1,0,0,0,0,1,0,0,0
193,1,0,1,19.0,0,0,0,0,0,0,0,1,0,0,1,2,7.8542,0,0,0,0,1,0,0,1,0,0,0,0
194,1,1,0,3.0,0,0,0,0,0,1,0,0,0,0,1,3,26.0,1,0,0,1,0,0,1,0,0,0,0,0
195,1,0,1,44.0,0,1,0,0,0,0,0,0,1,0,0,1,27.7208,0,0,1,0,0,0,0,0,0,1,0,0
196,1,0,1,58.0,0,1,0,0,0,0,0,0,1,0,0,1,146.5208,0,0,1,0,0,0,0,1,0,0,0,0
197,0,0,1,29.0,0,0,0,0,0,0,0,1,0,1,0,1,7.75,1,0,0,0,1,0,0,0,1,0,0,0
198,0,0,1,42.0,0,0,0,0,0,0,0,1,0,0,1,2,8.4042,1,0,0,0,1,0,0,0,1,0,0,0
199,1,0,1,22.0,0,0,0,0,0,0,0,1,0,1,0,1,7.75,0,0,0,0,1,0,0,1,0,0,0,0
200,0,0,1,24.0,0,0,0,0,0,0,0,1,0,0,1,1,13.0,0,0,0,1,0,0,0,1,0,0,0,0
201,0,0,1,28.0,0,0,0,0,0,0,0,1,0,0,1,1,9.5,1,0,0,0,1,0,0,0,1,0,0,0
202,0,0,1,29.0,0,0,0,0,0,0,0,1,0,0,1,11,69.55,1,0,0,0,1,0,0,0,1,0,0,0
203,0,0,1,34.0,0,0,0,0,0,0,0,1,0,0,1,1,6.4958,1,0,0,0,1,0,0,0,1,0,0,0
204,0,0,1,45.5,0,0,0,0,0,0,0,1,1,0,0,1,7.225,1,0,0,0,1,0,0,0,1,0,0,0
205,1,0,1,18.0,0,0,0,0,0,0,0,1,0,0,1,1,8.05,1,0,0,0,1,0,0,0,1,0,0,0
206,0,1,0,2.0,0,0,0,0,0,0,1,0,0,0,1,2,10.4625,0,0,0,0,1,0,0,1,0,0,0,0
207,0,0,1,32.0,0,0,0,0,0,0,0,1,0,0,1,2,15.85,1,0,0,0,1,0,0,0,1,0,0,0
208,1,0,1,26.0,0,0,0,0,0,0,0,1,1,0,0,1,18.7875,1,0,0,0,1,0,0,0,1,0,0,0
209,1,1,0,16.0,0,0,0,0,0,0,0,1,0,1,0,1,7.75,0,0,0,0,1,0,0,1,0,0,0,0
210,1,0,1,40.0,1,0,0,0,0,0,0,0,1,0,0,1,31.0,1,0,1,0,0,0,0,0,1,0,0,0
211,0,0,1,24.0,0,0,0,0,0,0,0,1,0,0,1,1,7.05,1,0,0,0,1,0,0,0,1,0,0,0
